0,2020-02-15 21:31:46
1,2020-02-15 21:32:51
0,2020-02-15 21:32:58
1,2020-02-15 22:32:03
0,2020-02-15 22:32:07
1,2020-02-15 22:32:09
0,2020-02-15 22:32:18
1,2020-02-15 22:32:22
0,2020-02-15 22:32:24
1,2020-02-15 22:32:24
0,2020-02-15 22:32:28
1,2020-02-15 22:32:29
0,2020-02-15 22:32:30
1,2020-02-15 22:32:37
0,2020-02-15 22:32:41
1,2020-02-15 22:32:48
0,2020-02-15 22:32:55
1,2020-02-15 22:32:56
0,2020-02-15 22:33:01
1,2020-02-15 22:33:06
0,2020-02-15 22:33:10
1,2020-02-15 22:33:18
0,2020-02-15 22:33:18
1,2020-02-15 22:33:19
0,2020-02-15 22:40:49
1,2020-02-15 22:40:52
0,2020-02-15 22:40:54
1,2020-02-15 22:58:45
0,2020-02-15 22:58:52
1,2020-02-15 23:00:36
0,2020-02-15 23:00:37
1,2020-02-15 23:01:34
0,2020-02-15 23:01:39
1,2020-02-15 23:01:43
0,2020-03-14 10:22:26
1,2020-03-14 10:22:28
0,2020-03-14 10:22:32
